"0 item(s)","0 sản phẩm"
"Information","Thông tin"
"Custom tab","Tab tùy biến"
"Video","Video"
"Information","Thông tin"
"My Wishlist","Yêu thích của tôi"
"My Wishlist <small>(%d)</small>","Yêu thích của tôi  <small>(%d)</small>"
"Cart","Giỏ hàng"
"Checkout","Thanh toán"
"Log In","Đăng nhập"
"Site Map","Sơ đồ website"
"Advanced Search","Tìm kiếm nâng cao"
"Orders and Returns","Đơn hàng và Trả hàng"
"Contact Us","Liên hệ"
"Shop By","Lọc theo"
"Sort By","Sắp xếp theo"
"Currency","Tiền tệ"
"Product Sitemap","Sơ đồ sản phẩm"
"Category Sitemap","Sơ đồ danh mục"
"Categories","Danh mục"
"Special products","Sản phẩm đặc biệt"
"Sale","Giảm giá"
"New","Mới"
"My Account","Tài khoản"
"Search entire store here","Tìm kiếm"
"Wishlist","Yêu thích"
"Add to Cart","Mua hàng"