"Continue","Tiếp tục"
"Connect","Liên kết"
"Disconnect","Hủy liên kết"
"Login","Đăng nhập"
"Register","Đăng ký"
"Unable to retrieve access code","Unable to retrieve access code"
"Required HTTP method is not supported","Required HTTP method is not supported"
"Unspecified OAuth error occurred","Unspecified OAuth error occurred"
"HTTP error %d occurred while issuing request","HTTP error %d occurred while issuing request"
"No access token available","No access token available"
"No refresh token, nothing to revoke","No refresh token, nothing to revoke"
"No refresh token, unable to refresh access token","No refresh token, unable to refresh access token"
"Unspecified OAuth error occurred","Unspecified OAuth error occurred"
"Unable to retrieve request token","Unable to retrieve request token"
"Unable to retrieve access token","Unable to retrieve access token"
"Unable to proceeed without an access token","Unable to proceeed without an access token"
"You have successfully disconnected your Facebook account from our store account.","Bạn đã hủy thành công liên kết Facebook với tài khoản của bạn."
"Facebook Connect process aborted.","Quá trình liên kết Facebook đã hủy."
"Sorry, "%s" error occured. Please try again.","Xin lỗi, đã xảy ra "%s" lỗi. Hãy thử lại sau."
"Your Facebook account is already connected to one of our store accounts.","Tài khoản Facebook đã từng được liên kết."
"Your Facebook account is now connected to your store accout. You can now login using our Facebook Connect button or using store account credentials you will receive to your email address.","Tài khoản Facebook của bạn đã được liên kết. Bạn có thể đăng nhập bằng tài khoản Facebook hoặc thông tin đăng nhập được gửi vào hòm thư của bạn."
"You have successfully logged in using your Facebook account.","Bạn đã đăng nhập sử dụng Facebook."
"We have discovered you already have an account at our store. Your Facebook account is now connected to your store account.","Bạn đã có tài khoản trên cửa hàng. Tài khoản Facebook của bạn đã được liên kết với tài khoản này."
"Sorry, could not retrieve your Facebook first name. Please try again.","Xin lỗi, không thể lấy được tên của bạn. Hãy thử lại sau."
"Sorry, could not retrieve your Facebook last name. Please try again.","Xin lỗi, không thể lấy được họ của bạn. Hãy thử lại sau."
"Your Facebook account is now connected to your new user accout at our store. Now you can login using our Facebook Connect button or using store account credentials you will receive to your email address.","Tài khoản Facebook của bạn đã được liên kết. Bạn có thể đăng nhập bằng tài khoản Facebook hoặc thông tin đăng nhập được gửi vào hòm thư của bạn."
"You have successfully disconnected your Google account from our store account.","Bạn đã hủy thành công liên kết tài khoản Google với tài khoản của bạn."
"Google Connect process aborted.","GQuá trình liên kết Google đã hủy."
"Sorry, "%s" error occured. Please try again.","Xin lỗi, đã xảy ra "%s" lỗi. Hãy thử lại sau."
"Your Google account is already connected to one of our store accounts.","Tài khoản Google đã từng được liên kết."
"Your Google account is now connected to your store accout. You can now login using our Google Connect button or using store account credentials you will receive to your email address.","Tài khoản Google của bạn đã được liên kết. Bạn có thể đăng nhập bằng tài khoản Facebook hoặc thông tin đăng nhập được gửi vào hòm thư của bạn."
"You have successfully logged in using your Google account.","Bạn đã đăng nhập sử dụng tài khoản Google."
"We have discovered you already have an account at our store. Your Google account is now connected to your store account.","Bạn đã có tài khoản trên cửa hàng. Tài khoản Google của bạn đã được liên kết với tài khoản này."
"Sorry, could not retrieve your Google first name. Please try again.","Xin lỗi, không thể lấy được tên của bạn. Hãy thử lại sau."
"Sorry, could not retrieve your Google last name. Please try again.","Xin lỗi, không thể lấy được họ của bạn. Hãy thử lại sau."
"Your Google account is now connected to your new user accout at our store. Now you can login using our Google Connect button or using store account credentials you will receive to your email address.","Tài khoản Google của bạn đã được liên kết. Bạn có thể đăng nhập bằng tài khoản Facebook hoặc thông tin đăng nhập được gửi vào hòm thư của bạn."
"You have successfully disconnected your Twitter account from our store account.","You have successfully disconnected your Twitter account from our store account."
"Twitter Connect process aborted.","Twitter Connect process aborted."
"Your Twitter account is already connected to one of our store accounts.","Your Twitter account is already connected to one of our store accounts."
"Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address.","Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address."
"You have successfully logged in using your Twitter account.","You have successfully logged in using your Twitter account."
"We have discovered you already have an account at our store. Your Twitter account is now connected to your store account.","We have discovered you already have an account at our store. Your Twitter account is now connected to your store account."
"Sorry, could not retrieve your Twitter last name. Please try again.","Sorry, could not retrieve your Twitter last name. Please try again."
"Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button.","Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button."
"Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>.","Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>."
"Google Connect","Liên kết với Google"
"Facebook Connect","Liên kết với Facebook"
"Twitter Connect","Twitter Connect"
"Customer My Account Google Connect","Customer My Account Google Connect"
"Customer My Account Facebook Connect","Customer My Account Facebook Connect"
"Customer My Account Twitter Connect","Customer My Account Twitter Connect"
"Connected as %s","Đã liên kết với %s"
"Email: %s","Email: %s"
"Facebook #: %s","Facebook #: %s"
"Gender: %s","Gender: %s"
"Birthday: %s","Birthday: %s"
"You can connect store account with your Facebook account so you could login easier in the future.","Bạn có thể liên kết tài khoản Facebook để đăng nhập dễ dàng hơn."
"Google #: %s","Google #: %s"
"You can connect store account with your Google account so you could login easier in the future.","Bạn có thể liên kết tài khoản Google để đăng nhập dễ dàng hơn."
"Twitter #: %s","Twitter #: %s"
"You can connect store account with your Twitter account so you could login easier in the future.","You can connect store account with your Twitter account so you could login easier in the future."
"You can continue with checkout using your <strong>Google</strong> account.","Bạn có thể tiếp tục thanh toán với tài khoản <strong>Google</strong>."
"You can continue with checkout using your <strong>Facebook</strong> account.","Bạn có thể tiếp tục thanh toán với tài khoản <strong>Facebook</strong>."
"You can continue with checkout using your <strong>Twitter</strong> account.","You can continue with checkout using your <strong>Twitter</strong> account."
"You can login using your Google account.","Bạn có thể đăng nhập với tài khoản Google."
"You can login using your Facebook account.","Bạn có thể đăng nhập với tài khoản Facebook."
"You can login using your Twitter account.","You can login using your Twitter account."
"You can register using your Google account.","Bạn có thể đăng ký với tài khoản Google."
"You can register using your Facebook account.","Bạn có thể đăng ký với tài khoản Facebook."
"You can register using your Twitter account.","You can register using your Twitter account."
"Connect","Đăng nhập bằng"
"Disconnect","Hủy liên kết"